facebookUrl,profileName,date,text,label,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Veity Mantik,2023-09-01T12:55:51.000Z,Semoga sehat selalu,Ham,140
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Mesara Ina Tana,2023-09-06T02:54:26.000Z,SLM SEHAT SLL DARI SY DI NTT. SUKSES SLL PAK RAFI AHMAD SEK.🙏🙏,Ham,310
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Mula La,2023-09-02T04:41:19.000Z,Hadir..moga sehat sekeluarga bos raffi..,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Zaskia Gotik,2023-09-01T12:09:51.000Z,Si ganteng ♥️,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Asri Amsini,2023-09-01T00:18:33.000Z,Si ganteng,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Alfa Allfaa,2023-09-06T12:42:54.000Z,Rafarar meni kasep pisan...salam sehat sll y tuk keluarga A Raffi and mba Gigi,Spam,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Ling Lamus Le,2023-09-06T14:01:26.000Z,Salam sehat selalu ya,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Simpleboi comedy,2023-08-31T15:13:57.000Z,Count me in,Spam,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Uti Parmi,2023-09-06T05:54:44.000Z,Sehat sll Aa Rafatar dn mm Gigi,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Tong Kitu Baraya,2023-09-06T05:58:01.000Z,Sehat slalu mamah gigi sekeluarga...Aamiin,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Bundy Pipih,2023-08-31T23:20:19.000Z,Sehat selalu mama gigi & keluarga,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Kartin Karim,2023-08-31T18:52:46.000Z,Sehat selalu kel RANS,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Ncie Ncie,2023-09-06T02:20:49.000Z,"Gantengnya Aa🥰
Sehat sll keluarga mama gigi",Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Marlita Bigem,2023-09-06T05:41:00.000Z,Sehat terus ya mama gigi n AA Raffi n sukses teeus,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Muli,2023-08-31T15:15:15.000Z,Senyum gigi,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Tina Maryani,2023-09-06T12:36:46.000Z,masyallah anak bujang mama gigi,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Salamah Hardiana,2023-08-31T15:15:45.000Z,Si kembar,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Chendoll Dawett,2023-08-31T22:01:01.000Z,Cantik bgt mama gigi,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Purwanti Purwanti,2023-09-06T10:38:01.000Z,AA rafatar dan mbk gigi semoga sehat selalu,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Taofik Akrom,2023-09-04T06:51:59.000Z,Semoga sehat mbak Nagita,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Arizka Nuraini,2023-09-03T23:22:03.000Z,Rafatharr,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Zaradeasilvia,2023-09-02T12:14:24.000Z,semoga sehat selalu,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Rifky Rambu Anarky,2023-09-01T02:06:35.000Z,Cakepp,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Suemi Paputungan,2023-09-06T06:36:53.000Z,Cantiik den ganteng,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Denny Cantona,2023-09-01T02:37:40.000Z,Rafatar n mamah nya sehat trs y ...aamiin y rob..,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Younk Melbert,2023-08-31T22:29:05.000Z,"Mudah2an gw sehat selalu,biar liat rafatar gedenya seperti ap,dan ortunya juga tuanya ky mana,dan masih bisa kah nyobain rezekinya sampai dia tua hehehe...",Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Mas Moto,2023-09-06T15:49:25.000Z,"Bahagia slalu, aamiin yaa robbal aalamiin",Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Mas Runze,2023-09-06T14:54:22.000Z,Mbak Gigi dan Adik Rafatar 😃👍,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Jhihan Khaira Zaqdi,2023-09-01T12:32:54.000Z,Semoga sehat selalu bersama keluarga kecilnya mama gigi Rafatar bersama dan cipung.,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Desi Purwanti,2023-09-07T01:33:07.000Z,Sehat selalu bos,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Shilva Ravena,2023-09-01T04:33:10.000Z,"KAKAK GIGI YG CANTIK SENYUMNYA PUN MANIS & DEDEK RAFATHAR YG GANTENG SENYUMNYA JUGA MANIS😊😊🤗. SEMOGA SEHAT SELALU, LANCAR REZEKI & USAHANYA, & SELALU DALAM LINDUNGAN ALLAH SWT. AMIN YA ROBBAL AALAMIIN🙏🏻🙏🏻🙏🏻",Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,R Syah,2023-09-03T12:06:23.000Z,Anak ganteng & ibu cantik....🥰🥰,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Ubed Fabian,2023-09-06T11:12:56.000Z,Keluarga raffi nagita sehat selalu. Amin,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Chuyrampak Chuyrampak,2023-09-01T07:01:31.000Z,Smoga sehat slalu buat ka Rafi sekeluarga amiiin,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Anty Anty,2023-09-06T03:11:13.000Z,Sehat slalu ank soleh,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Marianto Fauzan,2023-09-01T04:38:48.000Z,Sehat selalu,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Arshaka Khalid,2023-09-06T10:01:27.000Z,Sultan,Spam,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Suprio Hartono,2023-08-31T15:32:29.000Z,Semoga sukses dan sehat terus bersama keluarga.... Amin,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Ukiess,2023-09-04T09:26:30.000Z,Ceria amet jadi iwi jadi iwi iwi jadi iwi  😊 iwi,Spam,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Nia Nia,2023-09-01T14:46:43.000Z,Masakalloh Dede rapatar gantengnya sehat selalu ya Dede rapatar mama gigi Amiin 🤲🤲,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Sofi Ana,2023-09-01T06:51:18.000Z,Semoga sehat selalu mba Gigi dan Rafatar,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Qhaniyah Adelia,2023-08-31T21:32:46.000Z,Sehat selalu,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Sari Aulia,2023-09-06T01:56:17.000Z,Ibu terbaik untk anaknya,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Nonok,2023-09-07T13:48:49.000Z,Semoga awet berkeuarga bahagia selalu,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Bang Hanafih,2023-09-04T12:51:22.000Z,"Semoga selalu diberikan kesehatan, rezeki yg berlimpah.. .. sukses selalu untk keluarga raffi.",Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Mujisukur,2023-09-04T15:02:33.000Z,Masya Alloh tabbarokalloh bng rafatar ngguanteng bngt,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Ribo Rannuwanta,2023-08-31T16:34:23.000Z,Keren,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Fadli Usman,2023-09-04T11:44:41.000Z,Sehat slalu,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Kendy Umboh,2023-09-06T07:09:22.000Z,"GBU fam..Rafi ,teruslah bermanfaat bg bnyk org 🙏👏😍😇👍",Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Rohati Sarumaha,2023-09-06T15:04:54.000Z,Semoga sehat sll.,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Inn Langi,2023-09-05T23:54:33.000Z,Sehat2 selalu mm Gigi cantik dan anaknya Rafathar yang ganteng 🙏❤️😘👍,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Deske Tampanguma,2023-09-01T12:39:09.000Z,Halo rafatar n mam gigi,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Lajir Thea,2023-09-06T00:27:48.000Z,"Salam Santun👏👏👏
DO'A,terindah buat Klrga AaRaffi...
Sehat selalu Sekeluarga 👐👐👐",Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Fauzan Hadi,2023-08-31T16:26:09.000Z,Ilove gigi,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Saipul Jamaludin,2023-09-01T06:14:13.000Z,Beruntung banget si Rafatar terlahir dri orang kalangan atasss ...wekk kalangan bawahh bersyukur ey laahhh 🥺,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Jonly Paat,2023-09-07T13:59:05.000Z,Mantap mam dng. Kaka,Spam,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Yuliana Nurhakim,2023-09-03T09:39:47.000Z,Semoga sehat..,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Chery Asty,2023-08-31T15:14:21.000Z,Shat bhg sll kak bsama klga,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Evie,2023-09-06T11:17:20.000Z,mama gigi yg bohay n cantiikk❤❤❤,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Masyita,2023-08-31T15:26:03.000Z,Masya Allah cakep nya Rafatar 🥰🥰🥰😍😍😍,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Lhynd Mesa,2023-09-01T08:17:05.000Z,Sehat selalu kel RANS,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Marci Muti,2023-09-07T11:23:31.000Z,Smga sehat,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Fajarsinaga,2023-09-06T01:54:39.000Z,Ganteng dan soleh,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Yesika Simatupang,2023-09-07T10:17:49.000Z,Semoga sehat selalu,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Liez Iskandar,2023-09-05T23:21:39.000Z,Ganteng AA Rafatar sehat sllu,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Neng Esih,2023-09-01T07:15:36.000Z,Keren banget,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Muria Agung La,2023-09-01T03:57:13.000Z,Sama muka ya mirip mamah gigi,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Yadiks Berbagi Serhat,2023-09-02T05:31:54.000Z,Mga sehat selalu,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Ersa Ersa,2023-09-05T07:47:00.000Z,Raffatar mirip bngt mm gigi,Ham,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Chandra Rahmanda,2023-08-31T15:13:43.000Z,Ya Allah,Spam,
https://www.facebook.com/photo/?fbid=918611456287683&set=a.287849549363880,Margaretha Eleanor,2023-08-31T19:10:38.000Z,Sehat Selalu keluarga Rans..,Ham,
