facebookUrl,profileName,date,text,label,Unnamed: 5,preprocessing-result
https://www.facebook.com/photo/?fbid=874958717319557&set=a.411319653683468,M Febyan Richo,2023-09-13T10:45:32.000Z,"Banyak yg minta kehadirannya keberbagai wilayah mereka agar mungkin dapat melihat secara langsung situasi kondisi keadaan wilayahnya,sayangnya beliau hanya manusia biasa yg jg pasti punya batas kemampuan tenaganya utk meninjau satu persatu,ttpi mungkin dgn pikiran dan program2 beliau bs menjadi kepanjangan tangan utk hal itu,krn keterbatasan waktu menjabatnya hanya 2 priode..jika diberi kesampatan lebih mungkin beliau dapat menyelesaikan permasalahan yg terjdi utk indonesia lbh maju lagi..terima kasih utk pak jokowi,.is the best",Ham,500.0,"['yg', 'hadir', 'bagai', 'wilayah', 'langsung', 'situasi', 'kondisi', 'wilayah', 'sayang', 'beliau', 'manusia', 'yg', 'jg', 'batas', 'mampu', 'tenaga', 'utk', 'tinjau', 'satu', 'ttpi', 'dgn', 'pikir', 'program', 'beliau', 'bs', 'panjang', 'tangan', 'utk', 'krn', 'batas', 'jabat', 'priode', 'sampat', 'beliau', 'selesai', 'masalah', 'yg', 'terjdi', 'utk', 'indonesia', 'lbh', 'maju', 'terima', 'kasih', 'utk', 'jokowi', 'is', 'the', 'best']"
https://www.facebook.com/photo/?fbid=874958717319557&set=a.411319653683468,Rizqina Shahab Bsa,2023-09-13T10:27:54.000Z,Asal harganya terjangkau masyarakat pasti mau naik KCJB ini Pak.. 😊,Ham,300.0,"['harga', 'jangkau', 'masyarakat', 'kcjb']"
https://www.facebook.com/photo/?fbid=874958717319557&set=a.411319653683468,Siswoyo Pos,2023-09-13T10:16:24.000Z,Mantap pake banget lagi 👍👍👍👍👍,Ham,,"['mantap', 'pake', 'banget']"
https://www.facebook.com/photo/?fbid=874958717319557&set=a.411319653683468,Romulus Panjaitan,2023-09-13T10:06:35.000Z,Keren pak 👍👍👍,Ham,,['keren']
https://www.facebook.com/photo/?fbid=874958717319557&set=a.411319653683468,Lord of Red,2023-09-13T09:41:39.000Z,Every family has that 1 person who brakes the circle of financially struggles for the entire family and dat person is u reading this,Spam,,"['every', 'family', 'has', 'that', 'person', 'who', 'brakes', 'the', 'circle', 'of', 'financially', 'struggles', 'for', 'the', 'entire', 'family', 'and', 'dat', 'person', 'is', 'u', 'reading', 'this']"
https://www.facebook.com/photo/?fbid=874958717319557&set=a.411319653683468,Nurfaish Egy,2023-09-13T09:47:53.000Z,Keren Alhamdulillah Indonesia dah lbh maju transportasinya semoga Akan tersambung kedaerah2 lainya diseluruh Indonesia,Ham,,"['keren', 'alhamdulillah', 'indonesia', 'dah', 'lbh', 'maju', 'transportasi', 'moga', 'sambung', 'daerah', 'lai', 'seluruh', 'indonesia']"
https://www.facebook.com/photo/?fbid=874958717319557&set=a.411319653683468,Wahid,2023-09-13T10:16:30.000Z,Pak turun ke rempang saat ini msalh rempang prioritas dengarkan jeritan masyarakat disana,Spam,,"['turun', 'rempang', 'msalh', 'rempang', 'prioritas', 'dengar', 'jerit', 'masyarakat', 'sana']"
https://www.facebook.com/photo/?fbid=874958717319557&set=a.411319653683468,Suparyana,2023-09-14T09:12:30.000Z,Semoga penggantinya nanti bisa melanjutkan program program yang sudah dilaksanakan .tentunya yang baik di lanjutkan yang kurang baik dievaluasi.,Spam,,"['moga', 'ganti', 'lanjut', 'program', 'program', 'laksana', 'lanjut', 'evaluasi']"
https://www.facebook.com/photo/?fbid=874958717319557&set=a.411319653683468,Eufrasia Djereng,2023-09-13T09:49:18.000Z,Sukses  bapak presiden......utk pembangunan dan transportasi.....utk memudahkan perjalanan,Ham,,"['sukses', 'presiden', 'utk', 'bangun', 'transportasi', 'utk', 'mudah', 'jalan']"
https://www.facebook.com/photo/?fbid=874958717319557&set=a.411319653683468,Salim Latuconsina,2023-09-13T10:21:27.000Z,"Kreen pak presidenku
Sehat2 sllu ya🤲🤲👍👍",Ham,,"['kreen', 'presiden', 'sehat', 'sllu', 'ya']"
https://www.facebook.com/photo/?fbid=874958717319557&set=a.411319653683468,Haji Rasid,2023-09-13T10:05:23.000Z,"Mantap pk prsden,alhamdllah",Ham,,"['mantap', 'pk', 'prsden', 'alhamdllah']"
https://www.facebook.com/photo/?fbid=874958717319557&set=a.411319653683468,Qimien Nagan,2023-09-13T10:38:48.000Z,"Semoga bermanfaat bagi masyarakat Indonesia pak., bravo Aceh",Ham,,"['moga', 'manfaat', 'masyarakat', 'indonesia', 'bravo', 'aceh']"
